USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
AL	0101	15713378154	2275494808	6066.969	878.573	31.001891	-87.788121                                                                                                                                    
AL	0102	26270004118	303481339	10142.906	117.175	31.702085	-86.076842                                                                                                                                    
AL	0103	19537635148	471179602	7543.523	181.923	33.150564	-85.700228                                                                                                                                     
AL	0104	23021992971	573809025	8888.842	221.549	34.11818	-87.213808                                                                                                                                      
AL	0105	9526056834	459390826	3678.031	177.372	34.755297	-86.711804                                                                                                                                      
AL	0106	10803510557	176736564	4171.259	68.238	33.260212	-86.71343                                                                                                                                       
AL	0107	26301614502	333091170	10155.111	128.607	32.449235	-87.640501                                                                                                                                    
AK	0200	1478927050067	245394222619	571016.951	94747.243	63.347356	-152.839733                                                                                                                           
AZ	0401	142540141157	360566979	55035.059	139.216	34.971013	-110.725925                                                                                                                                  
AZ	0402	20415842726	18979260	7882.601	7.328	31.916618	-109.938728                                                                                                                                       
AZ	0403	40630051371	8324520	15687.351	3.214	32.422322	-112.401298                                                                                                                                       
AZ	0404	86039692910	450397983	33220.113	173.9	34.590918	-113.204528                                                                                                                                     
AZ	0405	760233105	2269816	293.528	0.876	33.337434	-111.714412                                                                                                                                           
AZ	0406	1618691196	10995625	624.98	4.245	33.665518	-111.888589                                                                                                                                          
AZ	0407	530113394	1646049	204.678	0.636	33.427819	-112.118768                                                                                                                                           
AZ	0408	1398795098	3402549	540.078	1.314	33.693039	-112.299866                                                                                                                                          
AZ	0409	426721661	2978423	164.758	1.15	33.406007	-111.949996                                                                                                                                            
AR	0501	50037807463	1233521823	19319.706	476.265	35.293909	-91.258306                                                                                                                                   
AR	0502	12894578154	302508778	4978.625	116.799	35.09956	-92.379157                                                                                                                                      
AR	0503	13988685028	370628170	5401.062	143.1	36.500504	-94.617768                                                                                                                                       
AR	0504	57855509435	1049737151	22338.138	405.306	34.2242	-93.221113                                                                                                                                     
CA	0601	72831158749	1863702699	28120.269	719.58	40.731988	-121.510516                                                                                                                                   
CA	0602	33545812583	4122937765	12952.111	1591.875	40.094059	-123.464974                                                                                                                                 
CA	0603	16016910790	456168272	6184.164	176.128	39.031952	-122.089573                                                                                                                                    
CA	0604	33247031806	858376850	12836.751	331.421	37.982452	-119.927973                                                                                                                                   
CA	0605	4482506480	319204470	1730.706	123.246	38.515718	-122.462466                                                                                                                                     
CA	0606	453245688	10900449	174.999	4.209	38.594033	-121.479768                                                                                                                                          
CA	0607	1421706462	13405566	548.924	5.176	38.479477	-121.215371                                                                                                                                         
CA	0608	85193252032	383840625	32893.3	148.202	35.662557	-116.819546                                                                                                                                     
CA	0609	3239874066	140752655	1250.922	54.345	38.010406	-121.306562                                                                                                                                      
CA	0610	4714492490	54132134	1820.276	20.901	37.586323	-121.054426                                                                                                                                       
CA	0611	1268368584	101769282	489.72	39.293	37.903869	-122.000933                                                                                                                                        
CA	0612	100987637	211559486	38.992	81.684	37.785514	-122.434                                                                                                                                            
CA	0613	250713048	127151510	96.801	49.093	37.778962	-122.239248                                                                                                                                         
CA	0614	672679659	827168708	259.723	319.372	37.574795	-122.493629                                                                                                                                       
CA	0615	1549132287	73625610	598.123	28.427	37.657148	-121.836245                                                                                                                                        
CA	0616	7356057771	117043674	2840.19	45.191	37.108653	-120.518867                                                                                                                                       
CA	0617	480162450	21997281	185.392	8.493	37.441028	-121.966578                                                                                                                                          
CA	0618	1802712142	329994536	696.031	127.412	37.202203	-122.153806                                                                                                                                      
CA	0619	2372153935	15278132	915.894	5.899	37.216236	-121.529023                                                                                                                                         
CA	0620	12626742694	1572306836	4875.213	607.071	36.373286	-121.275218                                                                                                                                   
CA	0621	17432244386	33795770	6730.627	13.049	36.086714	-119.8515                                                                                                                                        
CA	0622	3018253436	9637100	1165.354	3.721	36.476878	-119.389542                                                                                                                                         
CA	0623	25636966639	99630662	9898.489	38.468	35.610684	-118.539057                                                                                                                                      
CA	0624	17832224852	3684335356	6885.061	1422.53	34.919633	-120.112845                                                                                                                                   
CA	0625	4378881284	30761909	1690.696	11.877	34.588062	-118.280264                                                                                                                                       
CA	0626	2431553796	807882410	938.828	311.925	34.167023	-119.129955                                                                                                                                      
CA	0627	1812571329	7548567	699.838	2.915	34.265083	-117.934887                                                                                                                                          
CA	0628	565796615	2403435	218.455	0.928	34.250058	-118.291452                                                                                                                                           
CA	0629	238963417	1012710	92.264	0.391	34.266695	-118.430313                                                                                                                                            
CA	0630	352104846	5012026	135.948	1.935	34.201899	-118.546954                                                                                                                                           
CA	0631	568579586	3228195	219.53	1.246	34.109642	-117.353314                                                                                                                                            
CA	0632	321858652	5293420	124.27	2.044	34.089564	-117.914142                                                                                                                                            
CA	0633	747596042	489466316	288.648	188.984	34.046539	-118.944307                                                                                                                                       
CA	0634	123456586	783650	47.667	0.303	34.074655	-118.228269                                                                                                                                             
CA	0635	437321807	356550	168.851	0.138	34.044749	-117.583463                                                                                                                                            
CA	0636	15319089806	195498466	5914.734	75.482	33.729954	-115.739513                                                                                                                                     
CA	0637	143134943	351790	55.265	0.136	34.016897	-118.371764                                                                                                                                             
CA	0638	262655897	3822986	101.412	1.476	33.939479	-118.062604                                                                                                                                           
CA	0639	531477395	1083347	205.205	0.418	33.938649	-117.825836                                                                                                                                           
CA	0640	149408213	1743224	57.687	0.673	33.969867	-118.179207                                                                                                                                            
CA	0641	820266153	4204600	316.707	1.623	33.918075	-117.29742                                                                                                                                            
CA	0642	2424717988	44127176	936.189	17.038	33.679953	-117.227523                                                                                                                                        
CA	0643	186694742	442001	72.083	0.171	33.90311	-118.336303                                                                                                                                              
CA	0644	205631150	66788168	79.395	25.787	33.81875	-118.250983                                                                                                                                           
CA	0645	856174543	5084532	330.571	1.963	33.707881	-117.673869                                                                                                                                           
CA	0646	187083592	995827	72.233	0.384	33.790804	-117.896363                                                                                                                                             
CA	0647	560129280	1176357962	216.267	454.194	33.367336	-118.480709                                                                                                                                      
CA	0648	377998967	281882161	145.946	108.835	33.62291	-117.905275                                                                                                                                        
CA	0649	1433525621	511352925	553.487	197.434	33.314649	-117.379564                                                                                                                                      
CA	0650	7224949155	38048048	2789.569	14.69	33.113623	-116.622253                                                                                                                                        
CA	0651	12408817682	869493032	4791.071	335.713	32.995575	-115.525534                                                                                                                                    
CA	0652	691875913	296443549	267.135	114.457	32.857197	-117.165327                                                                                                                                       
CA	0653	352382816	5270130	136.056	2.035	32.717992	-117.0315                                                                                                                                             
CO	0801	491640932	7086985	189.824	2.736	39.732286	-104.908758                                                                                                                                           
CO	0802	19523706164	236538137	7538.145	91.328	40.137084	-105.709084                                                                                                                                     
CO	0803	128800672993	388811026	49730.22	150.121	38.743254	-107.344849                                                                                                                                   
CO	0804	98681026732	441672684	38100.959	170.531	39.070683	-103.413853                                                                                                                                   
CO	0805	18818306591	61225968	7265.789	23.639	38.815408	-105.344151                                                                                                                                      
CO	0806	1227758395	22008004	474.04	8.497	39.755088	-104.765351                                                                                                                                          
CO	0807	876763564	27294996	338.52	10.539	39.826671	-105.040854                                                                                                                                          
CT	0901	1749312781	51291912	675.413	19.804	41.790152	-73.20118                                                                                                                                          
CT	0902	5149364500	297597389	1988.181	114.903	41.653687	-72.206509                                                                                                                                      
CT	0903	1218076838	68691633	470.302	26.522	41.385689	-72.877302                                                                                                                                         
CT	0904	1193649796	214313050	460.871	82.747	41.196801	-73.388514                                                                                                                                        
CT	0905	3232093466	88062574	1247.918	34.001	41.694323	-73.209998                                                                                                                                        
CT	09ZZ	0	1095660735	0.	423.037	41.166607	-72.842465                                                                                                                                                    
DE	1000	5046620081	1399291164	1948.511	540.269	38.998566	-75.441644                                                                                                                                     
DC	1198	158340389	18687196	61.136	7.215	38.904247	-77.016517                                                                                                                                            
FL	1201	10405803763	1919396485	4017.703	741.083	30.662801	-86.662466                                                                                                                                    
FL	1202	28501079193	4835600167	11004.329	1867.036	30.075257	-84.179287                                                                                                                                  
